Track,Artist,Album,Similarity
Papercut,Linkin Park,Hybrid Theory (Bonus Edition),0.9511826888494905
Holiday,Green Day,Greatest Hits: God's Favorite Band,0.921844943900903
Purple Lamborghini (with Rick Ross),Skrillex,Purple Lamborghini (with Rick Ross),0.9067718569755187
Purple Lamborghini (with Rick Ross),Rick Ross,Purple Lamborghini (with Rick Ross),0.9067718160002508
All The Way Up (feat. Infared),French Montana,Plata O Plomo,0.9055202102084694
All The Way Up (feat. Infared),Fat Joe,Plata O Plomo,0.9055201642797714
Fly Away,Lenny Kravitz,5,0.9031882607077628
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Save Rock And Roll,0.8981121096996183
Nada Fue Un Error - Live In Spain / 2005,Julieta Venegas,Esta Mañana Y Otros Cuentos,0.8979325554131597
Don't Look,Karan Aujla,Don't Look,0.8965326521686358
