Track,Artist,Album,Similarity
Ain't No Mountain High Enough,Marvin Gaye,United,0.9074978973951984
Ain't No Mountain High Enough,Tammi Terrell,United,0.907497895280898
Be Alright,Dean Lewis,A Place We Knew,0.8859776263767327
I Like Me Better,Lauv,I met you when I was 18. (the playlist),0.8778407513579776
Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),0.8772028898344046
Eastside (with Halsey & Khalid),Halsey,FRIENDS KEEP SECRETS,0.8767587025728268
Where Are You Now,Lost Frequencies,Where Are You Now,0.8735666754956659
Where Are You Now,Calum Scott,Where Are You Now,0.8734329233193723
Love Yourself,Justin Bieber,Purpose (Deluxe),0.8731029043761103
Body Like A Back Road,Sam Hunt,SOUTHSIDE,0.867221683741377
